date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:38:45	6835/6835	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202017%2010:38:39%20GMT	http://69662.txtspy.org/	C:/My%20Web%20Sites/Textspy%20LP/69662.txtspy.org/index.html	(from )
18:39:01	19771/19771	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20Jan%202017%2021:19:52%20GMT	http://txtspy.org/wp-content/themes/cake/css/responsive9e1e-ver=1.3.2.css	C:/My%20Web%20Sites/Textspy%20LP/txtspy.org/wp-content/themes/cake/css/responsive9e1e-ver=1.3.2.css	(from http://69662.txtspy.org/)
18:39:07	1148/1148	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2031%20Jan%202017%2010:39:07%20GMT	http://txtspy.org/wp-content/themes/cake/css/skins/green/images9e1e.css?ver=1.3.2	C:/My%20Web%20Sites/Textspy%20LP/txtspy.org/wp-content/themes/cake/css/skins/green/images9e1e.39e1e.delayed	(from http://69662.txtspy.org/)
18:39:14	8333/8333	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20Jan%202017%2021:19:47%20GMT	http://txtspy.org/wp-content/themes/cake/style-colors9e1e-ver=1.3.2.css	C:/My%20Web%20Sites/Textspy%20LP/txtspy.org/wp-content/themes/cake/style-colors9e1e-ver=1.3.2.css	(from http://69662.txtspy.org/)
18:39:22	1591/1591	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20Jan%202017%2021:19:48%20GMT	http://txtspy.org/wp-content/themes/cake/style9e1e-2-ver=1.3.2.css	C:/My%20Web%20Sites/Textspy%20LP/txtspy.org/wp-content/themes/cake/style9e1e-2-ver=1.3.2.css	(from http://69662.txtspy.org/)
18:39:30	15172/15172	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20Jan%202017%2021:19:53%20GMT	http://txtspy.org/wp-content/themes/cake/css/woocommerce9e1e-ver=1.3.2.css	C:/My%20Web%20Sites/Textspy%20LP/txtspy.org/wp-content/themes/cake/css/woocommerce9e1e-ver=1.3.2.css	(from http://69662.txtspy.org/)
18:39:51	7199/7199	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2012%20Jan%202017%2021:20:24%20GMT	http://txtspy.org/wp-includes/js/jquery/jquery-migrate.min1576-ver=1.2.1.js	C:/My%20Web%20Sites/Textspy%20LP/txtspy.org/wp-includes/js/jquery/jquery-migrate.min1576-ver=1.2.1.js	(from http://69662.txtspy.org/)
18:39:56	70/70	---MCZ	200	added ('OK')	text/css	date:Thu,%2012%20Jan%202017%2021:19:51%20GMT	http://txtspy.org/wp-content/themes/cake/css/custom9e1e-ver=1.3.2.css	C:/My%20Web%20Sites/Textspy%20LP/txtspy.org/wp-content/themes/cake/css/custom9e1e-ver=1.3.2.css	(from http://69662.txtspy.org/)
18:40:07	4289/4289	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2012%20Jan%202017%2021:20:26%20GMT	http://txtspy.org/wp-includes/js/jquery/ui/jquery.ui.core.min2c18-ver=1.10.4.js	C:/My%20Web%20Sites/Textspy%20LP/txtspy.org/wp-includes/js/jquery/ui/jquery.ui.core.min2c18-ver=1.10.4.js	(from http://69662.txtspy.org/)
18:40:10	19140/19140	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Jan%202017%2021:19:43%20GMT	http://txtspy.org/logo.png	C:/My%20Web%20Sites/Textspy%20LP/txtspy.org/logo.png	(from http://69662.txtspy.org/)
18:40:12	6521/6521	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2012%20Jan%202017%2021:20:28%20GMT	http://txtspy.org/wp-includes/js/jquery/ui/jquery.ui.widget.min2c18-ver=1.10.4.js	C:/My%20Web%20Sites/Textspy%20LP/txtspy.org/wp-includes/js/jquery/ui/jquery.ui.widget.min2c18-ver=1.10.4.js	(from http://69662.txtspy.org/)
18:40:16	2841/2841	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2012%20Jan%202017%2021:20:27%20GMT	http://txtspy.org/wp-includes/js/jquery/ui/jquery.ui.mouse.min2c18-ver=1.10.4.js	C:/My%20Web%20Sites/Textspy%20LP/txtspy.org/wp-includes/js/jquery/ui/jquery.ui.mouse.min2c18-ver=1.10.4.js	(from http://69662.txtspy.org/)
18:40:19	24110/24110	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2012%20Jan%202017%2021:20:27%20GMT	http://txtspy.org/wp-includes/js/jquery/ui/jquery.ui.sortable.min2c18-ver=1.10.4.js	C:/My%20Web%20Sites/Textspy%20LP/txtspy.org/wp-includes/js/jquery/ui/jquery.ui.sortable.min2c18-ver=1.10.4.js	(from http://69662.txtspy.org/)
18:40:22	11623/11623	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2012%20Jan%202017%2021:20:27%20GMT	http://txtspy.org/wp-includes/js/jquery/ui/jquery.ui.tabs.min2c18-ver=1.10.4.js	C:/My%20Web%20Sites/Textspy%20LP/txtspy.org/wp-includes/js/jquery/ui/jquery.ui.tabs.min2c18-ver=1.10.4.js	(from http://69662.txtspy.org/)
18:40:39	11672/11672	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2012%20Jan%202017%2021:20:10%20GMT	http://txtspy.org/wp-content/themes/cake/js/owl-carousel/owl.carousel.min9e1e-ver=1.3.2.js	C:/My%20Web%20Sites/Textspy%20LP/txtspy.org/wp-content/themes/cake/js/owl-carousel/owl.carousel.min9e1e-ver=1.3.2.js	(from http://69662.txtspy.org/)
